gene_id,s_00077E7AC5,s_00077E7B8A,s_00077E7B99,s_00077E7BF8,s_00077E7C6D
ENSRNOG00000000001_AABR07013255.1,0,0.06,0,0,0
ENSRNOG00000000007_Gad1,110.81,141.54,154.84,170.63,146.39
ENSRNOG00000000008_Alx4,0,0.05,1.48,0.91,1
ENSRNOG00000000009_Tmco5b,0,0,0,0,0
ENSRNOG00000000010_Cbln1,6.12,6.75,6.47,5.89,2.77
ENSRNOG00000000012_Tcf15,0,0.55,0.72,0.15,0.6
ENSRNOG00000000017_Steap1,6.11,3.3,4.05,4.29,4.47
ENSRNOG00000000021_AABR07061902.1,34.07,28.07,48.49,29.74,28.79
ENSRNOG00000000024_Hebp1,7.77,17.12,17.68,13.97,9.28
ENSRNOG00000000033_Tmcc2,43.71,43.2,65.49,54.85,42.6
